dataset_name,eeg_class,tasks,Detailled task,Task Structure,Stimulation,Task,Timing,Population Age,Population Health,Study Type,Output,n_subjects,Description,Url,n_sessions_per_subject,n_recordings,n_classes,class_labels,manufacturer,device_model,electrode_type,cited_paper_year,citation_count
ON_ds005512,?,MultiTask ( Resting state - Surround Suppression - Movie Watching -Contrast Change Detection - Sequence Learning - Symbol Search),,MultiTask,Visual;No,Resting State;PerceptionVisual;Attention;DecisionMaking;Memory;Motor Execution,Synchronous;Asynchronous;Passive;Reactive;Active,Adult;Child,Healthy,Cognitive,,379,,,1,3088,10,DespicableMe | DiaryOfAWimpyKid | FunwithFractals | RestingState | ThePresent | contrastChangeDetection | seqLearning6target | seqLearning8target | surroundSupp | symbolSearch,EGI,Magstim,sponge ,2017,415
ON_ds005514,?,MultiTask ( Resting state - Surround Suppression - Movie Watching -Contrast Change Detection - Sequence Learning - Symbol Search),,MultiTask,Visual;No,Resting State;PerceptionVisual;Attention;DecisionMaking;Memory;Motor Execution,Synchronous;Asynchronous;Passive;Reactive;Active,Adult;Child,Healthy,Cognitive,,295,,,1,2881,10,DespicableMe | DiaryOfAWimpyKid | FunwithFractals | RestingState | ThePresent | contrastChangeDetection | seqLearning6target | seqLearning8target | surroundSupp | symbolSearch,EGI,Magstim,sponge ,2017,415
ON_ds005586,?,PassiveViewing game board,"Participants performed a passive viewing task in a dimly lit room. The Visual scene consisted of a game board, game pieces and a mesh as an occluder.",SingleTask,Visual,PerceptionVisual,Synchronous;Passive,Adult,Healthy,Cognitive,,22,https://pmc.ncbi.nlm.nih.gov/articles/PMC7617299/,https://openneuro.org/datasets/ds005586/versions/2.0.0,1,22,1,PassiveViewing,Brain Products,?,wet,,0
ON_ds005594,?,alphabeticdecision,alphabetics decision go no go ,SingleTask,Visual,PerceptionVisual;ReactionTime,Synchronous;Reactive,Adult,Healthy,Cognitive,,16,https://www.biorxiv.org/content/10.1101/2024.11.11.622929v3.full,https://openneuro.org/datasets/ds005594/versions/1.0.3,1,16,1,alphabeticdecision,Brain Products,BrainAmp DC,wet,,0
ON_ds005620,Resting state,Resting state awake and sedated,resting state electroencephalography (EEG) as well as EEG combined with TMS perturbations in 20 healthy participants during propofol sedation. Participants were repeatedly awoken from deep sedation and asked immediately whether they had experiences just before waking up and what they experienced.,MultiTask,Magnetic;No,Resting State;Sleep,Synchronous;Asynchronous;Passive,Adult,Healthy;Sedated,Cognitive,,21,https://pmc.ncbi.nlm.nih.gov/articles/PMC12460656/,https://openneuro.org/datasets/ds005620/versions/1.0.0,1,202,3,awake | sed | sed2,Brain Products,?,wet,,0
ON_ds005697,Image decoding ,Perceive and Imagine image ,"articipants to watch the image for 6 seconds according to the requirements, and then imagine the image they see for 6 seconds",SingleTask,Visual,PerceptionVisual,Synchronous;Passive,Adult,Healthy,Cognitive,,44,https://pmc.ncbi.nlm.nih.gov/articles/PMC7617299/#S2,https://openneuro.org/datasets/ds005697/versions/1.0.2,1,44,1,PerceiveImagine,Neuroscan ,SynAmps 2,wet,,0
Ofner2017,MI,bow flexion/extension; forearm supination/pronation and hand open/close,,MultiTask,Visual,Motor Imagery;Motor Execution,Active;Asynchronous,Adult,Healthy,BCI,,15,,https://moabb.neurotechx.com/docs/generated/moabb.datasets.Ofner2017.html,1,15,7,rest | right_elbow_extension | right_elbow_flexion | right_hand_close | right_hand_open | right_pronation | right_supination,g.tec,4x16-ch amplifiers,wet,2017,226
PhysionetMI,MI,left_hand vs right_hand vs feet vs hands vs rest,,MultiTask,Visual,Motor Imagery;Motor Execution,Active;Asynchronous,AgeUnknow,Healthy,BCI,,103,,https://moabb.neurotechx.com/docs/generated/moabb.datasets.PhysionetMI.html,1,103,5,feet | hands | left_hand | rest | right_hand,?,?,wet,,3000
Schirrmeister2017,MI,right_hand vs left_hand vs rest vs feet,,SingleTask,Visual,Motor Imagery,Active;Asynchronous,Adult,Healthy,BCI,,7,,https://moabb.neurotechx.com/docs/generated/moabb.datasets.Schirrmeister2017.html,1,14,4,feet | left_hand | rest | right_hand,Brain Products,BrainAmp,wet,,1200
Sosulski2019,P300,oddball+Resting State,,MultiTask,Auditory,Attention;PerceptionAuditory,Synchronous;Reactive,Adult,Healthy,BCI,,800,,,1,800,2,NonTarget | Target,Brain Products,BrainAmp,wet,,20
THINGS2,Image-decoding,THINGS ,,SingleTask,Visual,PerceptionVisual;Attention,Synchronous;Reactive,Adult,Healthy,Cognitive,,10,,https://www.sciencedirect.com/science/article/pii/S1053811922008758?via%3Dihub#sec0002,1,80,1,1854 object categories,Brain Products,BrainAmp,wet,,120
Weibo2014,MI,left hand; right hand; feet ; both hands; left hand combined with right foot; right hand combined with left foot ; rest,,SingleTask,Visual,Motor Imagery,Active;Asynchronous,Adult,Healthy,BCI,,10,,,1,10,7,feet | hands | left_hand | left_hand_right_foot | rest | right_hand | right_hand_left_foot,Neuroscan,SynAmps2,wet,2014,90
Zhou2016,MI,left hand; right hand and feet,,SingleTask,Visual,Motor Imagery,Active;Asynchronous,Adult,Healthy,BCI,,12,,https://moabb.neurotechx.com/docs/generated/moabb.datasets.Zhou2016.html,1,12,3,feet | left_hand | right_hand,Brain Products,BrainAmp,wet,2016,76
hms,Clinical,seizure; LPD; GPD; LRDA; or GRDA,,No,No,No task,Passive;,Adult,Unhealthy;Epilepsy;encephalopathy;Other pathology,Clinical,,1950,,https://www.nature.com/articles/s41746-025-02154-4#Sec11,1,16472,6,Seizure | LPD | GPD | LRDA | GRDA | Other,?,?,?,,20
siena,Seizure,Seizure,,No,No,No;Sleep,Passive,Adult,Unhealthy;Epilepsy,Clinical,,3,,https://physionet.org/content/siena-scalp-eeg/1.0.0/#files-panel,1,8,2,seizure | non-seizure,EB Neuro and Natus Quantum LTM,,wet,,80
sparkulee,Speech evoked,listenning speech ,,SingleTask,Auditory,Language;PerceptionAuditory,Synchronous;Passive,Adult,Healthy,Cognitive,,85,,https://rdr.kuleuven.be/dataset.xhtml?persistentId=doi:10.48804/K3VSND,1,624,2,attended_speech | unattended_speech,BioSemi,ActiveTwo,wet,,15
